epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.531,1.6968,3.81513,1.09809,0.00321,0.96203,0.00678,0.00348,1.34501,3.96002,1.04359,0.000651852,0.000651852,0.000651852
2,54.7545,1.55607,2.31307,1.07987,0.07294,0.67089,0.07753,0.04744,1.19999,3.43392,1.01414,0.00127501,0.00127501,0.00127501
3,78.8408,1.50684,1.80085,1.05935,0.54975,0.56962,0.60791,0.28012,1.705,2.20346,1.24539,0.00185416,0.00185416,0.00185416
4,102.148,1.43846,1.5894,1.04766,0.88307,0.76483,0.86293,0.6,1.21327,1.15486,1.1247,0.001802,0.001802,0.001802
5,124.391,1.43279,1.37075,1.07743,0.92205,0.89839,0.95146,0.63791,1.29733,1.08291,1.0829,0.001736,0.001736,0.001736
6,147.298,1.37466,1.21905,1.03973,0.93633,0.96203,0.95829,0.64301,1.22483,0.90118,1.0696,0.00167,0.00167,0.00167
7,172.441,1.36306,1.1245,1.04115,0.91368,0.9379,0.985,0.67532,1.18896,0.83748,1.05773,0.001604,0.001604,0.001604
8,196.904,1.27232,0.94656,1.00312,0.92907,0.96203,0.96993,0.68716,1.05186,0.83941,0.98291,0.001538,0.001538,0.001538
9,220.57,1.22657,0.91582,1.0065,0.97405,0.91139,0.98302,0.72619,1.04843,0.76876,0.97624,0.001472,0.001472,0.001472
10,243.025,1.18698,0.83841,0.97876,0.96573,0.96203,0.99246,0.72027,1.03934,0.75068,0.98434,0.001406,0.001406,0.001406
11,266.563,1.11818,0.78238,0.98884,0.93733,0.94663,0.98096,0.7621,0.90693,0.71658,0.95271,0.00134,0.00134,0.00134
12,290.382,1.0964,0.76212,0.98162,0.9913,0.93671,0.98677,0.78554,0.90211,0.64584,0.953,0.001274,0.001274,0.001274
13,311.782,1.13397,0.71946,0.93948,0.94709,1,0.98303,0.78243,0.83984,0.62654,0.92361,0.001208,0.001208,0.001208
14,335.615,1.11077,0.72024,0.95701,0.9522,0.93671,0.98706,0.61969,1.30511,0.73755,1.05555,0.001142,0.001142,0.001142
15,359.704,1.12473,0.70838,0.98136,0.9392,0.98734,0.99166,0.74551,0.99779,0.64237,0.98968,0.001076,0.001076,0.001076
16,382.291,1.08502,0.68926,0.94035,0.93973,1,0.99147,0.79674,0.85425,0.57946,0.94259,0.00101,0.00101,0.00101
17,403.028,1.04716,0.64026,0.91211,0.95058,0.98734,0.99076,0.79185,0.84269,0.58798,0.92519,0.000944,0.000944,0.000944
18,425.273,1.08469,0.65235,0.94734,0.96133,0.98734,0.986,0.77159,0.90966,0.56398,0.96626,0.000878,0.000878,0.000878
19,448.962,0.96899,0.61194,0.93823,0.98746,0.99691,0.99462,0.77868,0.92828,0.57292,0.95174,0.000812,0.000812,0.000812
20,479.764,0.95026,0.57506,0.90723,0.98309,0.98734,0.99438,0.81819,0.79689,0.53283,0.93108,0.000746,0.000746,0.000746
21,501.329,0.8723,0.55657,0.93678,0.95053,0.98734,0.98559,0.79191,0.82519,0.54856,0.92451,0.00068,0.00068,0.00068
22,523.158,0.86549,0.54397,0.93897,0.93716,1,0.99071,0.78512,0.85923,0.54436,0.93931,0.000614,0.000614,0.000614
23,545.792,0.82534,0.52342,0.92379,0.98068,0.96203,0.99027,0.79249,0.86991,0.54534,0.92855,0.000548,0.000548,0.000548
24,567.052,0.88977,0.5211,0.92533,0.97179,0.98734,0.99325,0.81459,0.8297,0.50428,0.93057,0.000482,0.000482,0.000482
25,587.774,0.86265,0.51173,0.91185,0.97482,0.98028,0.99152,0.8127,0.77829,0.50981,0.91879,0.000416,0.000416,0.000416
26,608.967,0.79167,0.48991,0.90321,0.9849,1,0.99488,0.82202,0.78,0.49254,0.92151,0.00035,0.00035,0.00035
27,630.604,0.80452,0.49816,0.90908,0.98915,0.98734,0.99488,0.82446,0.7756,0.48121,0.91911,0.000284,0.000284,0.000284
28,652.692,0.75746,0.46532,0.8942,0.99357,1,0.995,0.8328,0.74438,0.48723,0.90926,0.000218,0.000218,0.000218
29,674.877,0.72606,0.45355,0.8793,0.97351,0.98734,0.99395,0.83573,0.7258,0.49103,0.90179,0.000152,0.000152,0.000152
30,697.122,0.74205,0.46653,0.88521,0.96002,0.98734,0.99403,0.82147,0.75155,0.48813,0.90747,8.6e-05,8.6e-05,8.6e-05
