                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7156,                 3.1401,                 1.1359,                      1,                0.08487,                0.89601,                0.48554,                 1.2681,                  3.151,                0.97243,             0.00065854,             0.00065854,             0.00065854
                      2,                 1.3485,                 1.6174,                 1.0177,                0.80815,                0.86826,                0.91123,                 0.5865,                 1.2156,                 1.4688,                 1.0304,              0.0012596,              0.0012596,              0.0012596
                      3,                 1.3151,                 1.2184,                 1.0241,                0.91892,                 0.9521,                0.97559,                0.62916,                  1.172,                0.86449,                 1.0014,              0.0017947,              0.0017947,              0.0017947
                      4,                 1.2643,                0.98795,                 1.0005,                0.96646,                0.97006,                 0.9918,                0.69026,                 1.0518,                0.64097,                0.96649,               0.001703,               0.001703,               0.001703
                      5,                 1.2004,                0.84195,                0.98628,                0.95078,                0.98204,                0.98352,                0.70614,                 1.0203,                0.62593,                0.96473,               0.001604,               0.001604,               0.001604
                      6,                 1.1273,                0.73941,                0.96147,                0.98579,                      1,                0.99452,                0.72114,                0.97883,                0.55672,                 0.9405,               0.001505,               0.001505,               0.001505
                      7,                 1.1259,                0.68689,                 0.9557,                0.99401,                0.99342,                 0.9941,                0.73521,                0.91022,                0.52656,                0.92131,               0.001406,               0.001406,               0.001406
                      8,                 1.0707,                0.64066,                0.95733,                0.97657,                0.99843,                0.99343,                0.75765,                0.88274,                0.53517,                0.91583,               0.001307,               0.001307,               0.001307
                      9,                 1.0556,                0.62436,                0.94462,                0.98587,                      1,                  0.995,                0.74877,                0.89522,                0.50763,                0.91147,               0.001208,               0.001208,               0.001208
                     10,                0.99917,                0.58458,                0.93348,                0.95265,                0.96389,                0.98693,                0.65713,                 1.1294,                 0.6115,                0.95797,               0.001109,               0.001109,               0.001109
                     11,                0.95199,                 0.5475,                0.95314,                0.99586,                0.99401,                  0.995,                0.74297,                0.89243,                0.50369,                0.90685,                0.00101,                0.00101,                0.00101
                     12,                0.95365,                0.54053,                0.94811,                0.98128,                0.99401,                0.99464,                0.75851,                0.84683,                0.47861,                0.89983,               0.000911,               0.000911,               0.000911
                     13,                 0.9163,                0.50911,                0.93519,                0.98204,                0.98231,                0.99392,                0.77088,                0.82161,                0.44933,                0.88678,               0.000812,               0.000812,               0.000812
                     14,                0.86905,                 0.4915,                0.92572,                0.98137,                      1,                0.99422,                0.78852,                0.79032,                0.44994,                0.87521,               0.000713,               0.000713,               0.000713
                     15,                0.86265,                0.47468,                0.91639,                0.99362,                      1,                0.99494,                0.80947,                0.77021,                0.40986,                0.87389,               0.000614,               0.000614,               0.000614
                     16,                0.83489,                0.46855,                0.90885,                0.99736,                      1,                  0.995,                0.79749,                0.77564,                0.41583,                0.87549,               0.000515,               0.000515,               0.000515
                     17,                0.80638,                0.44902,                0.90339,                0.99292,                      1,                  0.995,                0.79762,                0.78367,                0.41128,                0.87622,               0.000416,               0.000416,               0.000416
                     18,                0.79346,                0.43452,                0.90155,                0.99634,                      1,                  0.995,                0.82521,                0.74599,                0.38896,                 0.8689,               0.000317,               0.000317,               0.000317
                     19,                0.74525,                 0.4158,                0.88594,                0.99767,                      1,                  0.995,                0.83239,                0.71565,                 0.3845,                0.85863,               0.000218,               0.000218,               0.000218
                     20,                0.75004,                 0.4089,                0.89056,                0.99832,                      1,                  0.995,                0.82894,                0.71504,                0.37414,                0.85944,               0.000119,               0.000119,               0.000119
