type	delta time	mode	trial	lickPos	result
lick	34.48599	0x11	0	1	
lick	34.62599	0x11	0	1	
lick	34.82599	0x11	0	1	
lick	34.98599	0x11	0	1	
lick	35.18599	0x11	0	1	
lick	35.38599	0x11	0	1	
entrance	43.98599	0x11	0	1	
entrance	44.84599	0x11	0	0	
entrance	45.38599	0x11	0	1	
entrance	45.40599	0x11	0	0	
entrance	48.60599	0x11	0	1	
entrance	49.10599	0x11	0	0	
lick	59.02599	0x11	0	1	
lick	65.32599	0x11	0	0	
lick	65.48598	0x11	0	0	
lick	65.66599	0x11	0	0	
lick	65.78599	0x11	0	0	
lick	65.96599	0x11	0	0	
lick	66.10599	0x11	0	0	
lick	66.26598	0x11	0	0	
lick	66.42599	0x11	0	0	
lick	66.58598	0x11	0	0	
lick	66.76598	0x11	0	0	
lick	66.92599	0x11	0	0	
lick	67.10599	0x11	0	0	
entrance	90.10599	0x11	0	1	
entrance	90.14599	0x11	0	0	
entrance	90.34599	0x11	0	1	
entrance	90.66599	0x11	0	0	
lick	95.06599	0x11	0	1	
lick	95.24599	0x11	0	1	
lick	95.78599	0x11	0	1	
lick	95.98598	0x11	0	1	
lick	96.14599	0x11	0	1	
entrance	98.42599	0x11	0	1	
entrance	98.72598	0x11	0	0	
entrance	98.74599	0x11	0	1	
entrance	98.76598	0x11	0	0	
entrance	99.02599	0x11	0	1	
entrance	99.02599	0x11	0	0	
entrance	100.146	0x11	0	1	
entrance	100.606	0x11	0	0	
entrance	101.746	0x11	0	1	
entrance	104.106	0x11	0	0	
entrance	106.646	0x11	0	1	
entrance	106.646	0x11	0	0	
entrance	108.406	0x11	0	1	
entrance	109.446	0x11	0	0	
entrance	115.326	0x11	0	1	
entrance	115.966	0x11	0	0	
entrance	116.126	0x11	0	1	
entrance	116.146	0x11	0	0	
entrance	116.246	0x11	0	1	
entrance	116.266	0x11	0	0	
entrance	130.746	0x11	0	1	
entrance	131.246	0x11	0	0	
entrance	133.226	0x11	0	1	
entrance	134.926	0x11	0	0	
entrance	143.326	0x11	0	1	
entrance	143.766	0x11	0	0	
entrance	150.746	0x11	0	1	
entrance	150.746	0x11	0	0	
entrance	150.746	0x11	0	1	
entrance	150.766	0x11	0	0	
lick	158.886	0x11	0	1	
lick	159.086	0x11	0	1	
lick	166.346	0x11	0	0	
lick	166.526	0x11	0	0	
lick	166.686	0x11	0	0	
lick	167.106	0x11	0	0	
start	205.746	0x11	0	-1	
entrance	205.746	0x11	0	1	
entrance	209.326	0x11	0	0	
entrance	209.566	0x11	0	1	
entrance	209.746	0x11	0	0	
lick	211.026	0x11	0	1	
end	211.026	0x11	0	1	1
lick	211.646	0x11	0	1	
lick	212.126	0x11	0	1	
