                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7575,                 3.8125,                 1.1114,                0.00317,                0.95238,                0.00715,                0.00384,                  1.244,                 4.0311,                0.99899,             0.00064815,             0.00064815,             0.00064815
                      2,                 1.4537,                 2.3458,                 1.0335,                0.00328,                0.98413,                  0.095,                0.04645,                 1.2453,                 3.4161,                 1.0386,              0.0012497,              0.0012497,              0.0012497
                      3,                 1.4145,                 1.7929,                 1.0381,                0.98679,                0.66667,                 0.9547,                0.58866,                 1.2041,                 2.5214,                 1.0287,              0.0017853,              0.0017853,              0.0017853
                      4,                  1.358,                 1.6577,                0.99486,                0.89078,                0.90618,                0.95383,                0.60395,                 1.2364,                 1.3998,                 1.0407,               0.001703,               0.001703,               0.001703
                      5,                 1.2982,                 1.3631,                0.98898,                0.96831,                      1,                0.98852,                0.74635,                  0.928,                0.90202,                0.95695,               0.001604,               0.001604,               0.001604
                      6,                   1.27,                 1.2323,                 1.0125,                0.92341,                0.95238,                 0.9589,                0.64844,                 1.0939,                0.95428,                  1.017,               0.001505,               0.001505,               0.001505
                      7,                 1.2049,                 1.1647,                0.99142,                0.97998,                      1,                0.99484,                0.73769,                 0.9423,                0.81173,                0.95714,               0.001406,               0.001406,               0.001406
                      8,                 1.1355,                0.97049,                0.95309,                      1,                0.99971,                  0.995,                 0.7777,                0.85958,                0.62012,                0.92502,               0.001307,               0.001307,               0.001307
                      9,                 1.0608,                0.89048,                0.95044,                      1,                0.97874,                0.99469,                 0.7719,                0.88076,                 0.5943,                0.93846,               0.001208,               0.001208,               0.001208
                     10,                 1.0801,                0.82159,                0.92272,                0.98432,                 0.9963,                0.99453,                0.76787,                0.86351,                 0.6144,                0.92469,               0.001109,               0.001109,               0.001109
                     11,                0.96653,                0.81205,                0.93289,                0.99939,                      1,                  0.995,                0.73462,                0.95239,                0.60297,                0.94468,                0.00101,                0.00101,                0.00101
                     12,                0.95113,                0.80339,                0.94804,                0.98143,                      1,                0.99484,                0.76307,                0.91112,                0.60974,                0.93064,               0.000911,               0.000911,               0.000911
                     13,                0.89338,                0.76147,                 0.9554,                      1,                0.98901,                  0.995,                0.75705,                0.87767,                 0.6001,                0.92127,               0.000812,               0.000812,               0.000812
                     14,                0.88583,                0.73426,                0.92468,                0.99403,                0.98413,                0.99469,                0.77373,                0.82808,                0.54809,                0.91951,               0.000713,               0.000713,               0.000713
                     15,                0.87874,                0.65669,                0.91568,                 0.9961,                      1,                  0.995,                0.79615,                0.75728,                0.51125,                0.89744,               0.000614,               0.000614,               0.000614
                     16,                0.84401,                0.67169,                0.91818,                0.97868,                      1,                0.99453,                0.80405,                0.77299,                0.51465,                0.90024,               0.000515,               0.000515,               0.000515
                     17,                0.81702,                0.62089,                0.89374,                0.99268,                      1,                  0.995,                0.82529,                0.66055,                0.49286,                0.88328,               0.000416,               0.000416,               0.000416
                     18,                0.81186,                0.56652,                0.86675,                0.99702,                      1,                  0.995,                0.82909,                0.69034,                0.45812,                0.88401,               0.000317,               0.000317,               0.000317
                     19,                0.76183,                0.56034,                0.88646,                0.99429,                      1,                  0.995,                0.85975,                0.64974,                0.44142,                0.87391,               0.000218,               0.000218,               0.000218
                     20,                0.74684,                0.57128,                0.87852,                0.99997,                      1,                  0.995,                0.85612,                0.63749,                 0.4428,                0.86735,               0.000119,               0.000119,               0.000119
