                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9391,                 7.0073,                 1.7517,                0.00032,                0.09524,                0.00019,                  4e-05,                 2.3148,                 5.3945,                 1.4479,                0.00022,                0.00022,                0.00022
                      2,                 2.1729,                 4.8308,                  1.338,                0.00286,                0.85714,                0.00541,                0.00143,                 1.7211,                 4.6887,                 1.1639,             0.00043723,             0.00043723,             0.00043723
                      3,                 2.0653,                 3.5073,                 1.3106,                 0.0027,                0.80952,                  0.005,                0.00184,                 1.6798,                 4.4899,                 1.1451,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.9339,                  3.272,                  1.251,                0.00254,                 0.7619,                0.00412,                0.00169,                 1.7288,                 4.3866,                 1.1289,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.7933,                 2.7937,                 1.1785,                0.00286,                0.85714,                0.04911,                0.03315,                 1.6799,                 4.0827,                 1.1864,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.7257,                  2.527,                 1.1457,                0.00317,                0.95238,                0.28558,                0.11698,                 1.6143,                  3.862,                 1.1459,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.7121,                 2.5004,                 1.1707,                0.00286,                0.85714,                0.57673,                0.31864,                 1.6034,                 3.3964,                 1.1885,               0.001167,               0.001167,               0.001167
                      8,                 1.6427,                 2.1607,                 1.1434,                0.66418,                0.71429,                0.67979,                0.36864,                 1.5987,                 3.1585,                 1.1358,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.5149,                 2.0043,                 1.0694,                0.91103,                0.48836,                0.69274,                0.42865,                 1.5283,                  2.691,                 1.1629,               0.001208,               0.001208,               0.001208
                     10,                 1.4979,                 1.8295,                 1.0788,                0.87967,                0.61905,                0.69631,                0.40559,                 1.6808,                 2.4068,                 1.2024,               0.001109,               0.001109,               0.001109
                     11,                 1.4674,                 2.0899,                 1.1574,                0.78115,                0.71429,                0.72024,                0.40518,                 1.7367,                 2.1291,                  1.251,                0.00101,                0.00101,                0.00101
                     12,                 1.3897,                 1.9032,                 1.1332,                0.71919,                0.57143,                0.65292,                0.38013,                 1.6359,                 1.9084,                 1.1939,               0.000911,               0.000911,               0.000911
                     13,                 1.3622,                  1.884,                 1.0867,                0.74882,                0.71002,                0.66176,                0.28999,                 1.9191,                 1.8435,                 1.2915,               0.000812,               0.000812,               0.000812
                     14,                 1.2933,                 1.6677,                 1.0782,                 0.8819,                0.71137,                0.71366,                0.42863,                 1.6037,                 1.3514,                  1.207,               0.000713,               0.000713,               0.000713
                     15,                 1.2025,                 1.5769,                 1.0148,                0.90301,                0.71429,                0.74765,                0.47171,                 1.4324,                 1.2207,                 1.1885,               0.000614,               0.000614,               0.000614
                     16,                 1.1498,                 1.4445,                 1.0094,                0.98879,                 0.7619,                0.84546,                0.51569,                 1.3825,                 1.1299,                 1.1737,               0.000515,               0.000515,               0.000515
                     17,                 1.1397,                 1.4881,                0.99484,                 0.8655,                 0.7619,                0.84557,                0.53228,                 1.3999,                 1.1039,                 1.1864,               0.000416,               0.000416,               0.000416
                     18,                 1.0922,                 1.3979,                0.99818,                      1,                0.71169,                0.85291,                0.56251,                 1.3759,                 1.0491,                 1.1718,               0.000317,               0.000317,               0.000317
                     19,                 1.0885,                 1.3276,                 1.0189,                      1,                0.74547,                0.84387,                0.55912,                 1.3324,                 1.0047,                 1.1361,               0.000218,               0.000218,               0.000218
                     20,                 1.0831,                 1.3633,                 1.0002,                      1,                0.75192,                0.85168,                0.58357,                 1.3044,                0.99708,                 1.1101,               0.000119,               0.000119,               0.000119
