type	delta time	mode	trial	lickPos	result
start	15.42915	0x11	0	-1	
entrance	15.42915	0x11	0	1	
entrance	15.98915	0x11	0	0	
entrance	16.16915	0x11	0	1	
entrance	16.18915	0x11	0	0	
entrance	20.94915	0x11	0	1	
entrance	21.28915	0x11	0	0	
entrance	21.44915	0x11	0	1	
entrance	21.44915	0x11	0	0	
lick	26.44915	0x11	0	1	
end	26.44915	0x11	0	0	0
start	33.00914	0x11	1	-1	
entrance	33.00914	0x11	1	1	
entrance	33.18914	0x11	1	0	
entrance	33.24915	0x11	1	1	
entrance	34.36914	0x11	1	0	
entrance	45.54914	0x11	1	1	
entrance	47.38914	0x11	1	0	
entrance	47.96915	0x11	1	1	
entrance	48.40915	0x11	1	0	
entrance	48.46915	0x11	1	1	
entrance	48.50914	0x11	1	0	
entrance	48.60915	0x11	1	1	
entrance	48.64914	0x11	1	0	
lick	53.16914	0x11	1	0	
end	53.16914	0x11	1	1	0
lick	53.32914	0x11	1	0	
start	57.24915	0x11	2	-1	
entrance	57.24915	0x11	2	1	
entrance	58.16914	0x11	2	0	
entrance	60.48914	0x11	2	1	
entrance	61.10915	0x11	2	0	
entrance	69.36915	0x11	2	1	
entrance	69.64915	0x11	2	0	
entrance	70.70914	0x11	2	1	
entrance	71.10915	0x11	2	0	
lick	72.82915	0x11	2	0	
end	72.82915	0x11	2	0	1
lick	73.02914	0x11	2	0	
lick	73.12914	0x11	2	0	
lick	73.24915	0x11	2	0	
lick	73.38914	0x11	2	0	
lick	73.50915	0x11	2	0	
lick	73.64915	0x11	2	0	
lick	73.78915	0x11	2	0	
lick	73.92915	0x11	2	0	
lick	74.06915	0x11	2	0	
lick	74.22914	0x11	2	0	
lick	74.36915	0x11	2	0	
lick	74.62914	0x11	2	0	
lick	74.76914	0x11	2	0	
lick	74.94914	0x11	2	0	
lick	75.08914	0x11	2	0	
lick	75.50915	0x11	2	0	
lick	75.64915	0x11	2	0	
start	86.36914	0x11	3	-1	
entrance	86.36914	0x11	3	1	
entrance	86.68915	0x11	3	0	
lick	98.02914	0x11	3	1	
end	98.02914	0x11	3	1	1
lick	98.98914	0x11	3	1	
lick	99.32915	0x11	3	1	
lick	99.50915	0x11	3	1	
lick	99.66914	0x11	3	1	
lick	99.84914	0x11	3	1	
lick	100.0291	0x11	3	1	
lick	100.2091	0x11	3	1	
lick	109.9091	0x11	3	0	
lick	110.0291	0x11	3	0	
lick	110.2891	0x11	3	0	
lick	113.8291	0x11	3	1	
start	119.9291	0x11	4	-1	
entrance	119.9291	0x11	4	1	
entrance	120.1891	0x11	4	0	
entrance	121.3691	0x11	4	1	
entrance	122.8891	0x11	4	0	
lick	124.4291	0x11	4	1	
end	124.4291	0x11	4	1	1
lick	124.6291	0x11	4	1	
lick	125.0691	0x11	4	1	
lick	125.2291	0x11	4	1	
lick	125.3691	0x11	4	1	
lick	125.5291	0x11	4	1	
lick	125.6891	0x11	4	1	
lick	131.4491	0x11	4	0	
lick	131.7291	0x11	4	0	
lick	132.0091	0x11	4	0	
lick	144.5891	0x11	4	1	
start	146.2691	0x11	5	-1	
entrance	146.2691	0x11	5	1	
entrance	147.2091	0x11	5	0	
entrance	150.8491	0x11	5	1	
entrance	151.2691	0x11	5	0	
entrance	151.7291	0x11	5	1	
entrance	151.7291	0x11	5	0	
entrance	151.8091	0x11	5	1	
entrance	151.8291	0x11	5	0	
lick	153.4291	0x11	5	0	
end	153.4291	0x11	5	0	1
lick	153.8291	0x11	5	0	
lick	153.9491	0x11	5	0	
lick	154.0691	0x11	5	0	
lick	154.2091	0x11	5	0	
lick	154.3491	0x11	5	0	
lick	154.5291	0x11	5	0	
lick	154.6491	0x11	5	0	
lick	158.6691	0x11	5	1	
start	163.1291	0x11	6	-1	
entrance	163.1291	0x11	6	1	
entrance	163.5291	0x11	6	0	
entrance	163.5691	0x11	6	1	
entrance	163.9491	0x11	6	0	
entrance	164.4091	0x11	6	1	
entrance	164.6291	0x11	6	0	
entrance	164.6691	0x11	6	1	
entrance	164.6691	0x11	6	0	
entrance	170.8491	0x11	6	1	
entrance	171.1291	0x11	6	0	
entrance	174.0091	0x11	6	1	
entrance	174.1891	0x11	6	0	
entrance	174.2291	0x11	6	1	
entrance	174.2291	0x11	6	0	
entrance	174.3091	0x11	6	1	
entrance	174.3091	0x11	6	0	
entrance	180.0091	0x11	6	1	
entrance	180.5691	0x11	6	0	
entrance	183.2291	0x11	6	1	
entrance	183.8891	0x11	6	0	
entrance	184.0691	0x11	6	1	
entrance	184.0891	0x11	6	0	
entrance	184.1291	0x11	6	1	
entrance	184.3291	0x11	6	0	
entrance	184.5491	0x11	6	0	
lick	186.7691	0x11	6	0	
end	186.7691	0x11	6	0	1
lick	187.2491	0x11	6	0	
lick	187.3691	0x11	6	0	
lick	187.5091	0x11	6	0	
lick	187.6291	0x11	6	0	
lick	187.7891	0x11	6	0	
lick	187.9291	0x11	6	0	
lick	188.0491	0x11	6	0	
lick	188.1891	0x11	6	0	
lick	188.3291	0x11	6	0	
lick	188.4891	0x11	6	0	
lick	188.6291	0x11	6	0	
lick	188.7491	0x11	6	0	
lick	188.8891	0x11	6	0	
lick	189.0291	0x11	6	0	
lick	189.2091	0x11	6	0	
lick	189.3291	0x11	6	0	
lick	189.4491	0x11	6	0	
lick	189.6091	0x11	6	0	
lick	189.7491	0x11	6	0	
lick	189.8891	0x11	6	0	
start	195.6891	0x11	7	-1	
entrance	195.6891	0x11	7	1	
entrance	195.8891	0x11	7	0	
entrance	199.1091	0x11	7	1	
entrance	199.2291	0x11	7	0	
lick	200.6891	0x11	7	1	
end	200.6891	0x11	7	1	1
lick	201.1091	0x11	7	1	
lick	201.6691	0x11	7	1	
lick	201.8291	0x11	7	1	
lick	202.0091	0x11	7	1	
lick	202.1491	0x11	7	1	
lick	202.3291	0x11	7	1	
lick	202.4891	0x11	7	1	
lick	202.6491	0x11	7	1	
lick	202.8291	0x11	7	1	
lick	202.9891	0x11	7	1	
start	205.4491	0x11	8	-1	
entrance	205.4491	0x11	8	1	
entrance	205.7091	0x11	8	0	
entrance	206.0291	0x11	8	1	
entrance	206.2891	0x11	8	0	
lick	209.3091	0x11	8	1	
end	209.3091	0x11	8	1	1
lick	209.7691	0x11	8	1	
lick	209.9291	0x11	8	1	
lick	210.0691	0x11	8	1	
lick	210.2291	0x11	8	1	
lick	210.4091	0x11	8	1	
lick	210.5491	0x11	8	1	
lick	210.7091	0x11	8	1	
lick	210.9091	0x11	8	1	
lick	211.0291	0x11	8	1	
lick	211.1891	0x11	8	1	
start	213.7291	0x11	9	-1	
entrance	213.7291	0x11	9	1	
entrance	215.7091	0x11	9	0	
entrance	215.7291	0x11	9	1	
entrance	216.3891	0x11	9	0	
entrance	216.7691	0x11	9	1	
entrance	217.0091	0x11	9	0	
entrance	217.0691	0x11	9	1	
entrance	217.0891	0x11	9	0	
entrance	217.1291	0x11	9	1	
entrance	217.1291	0x11	9	0	
lick	218.6691	0x11	9	0	
end	218.6691	0x11	9	0	1
lick	219.0491	0x11	9	0	
lick	219.1891	0x11	9	0	
lick	219.3291	0x11	9	0	
lick	219.4491	0x11	9	0	
lick	219.5891	0x11	9	0	
lick	219.7291	0x11	9	0	
lick	219.8491	0x11	9	0	
lick	220.0091	0x11	9	0	
lick	220.1491	0x11	9	0	
lick	231.9491	0x11	9	0	
lick	232.1091	0x11	9	0	
lick	232.2491	0x11	9	0	
lick	232.4491	0x11	9	0	
lick	232.6291	0x11	9	0	
lick	233.0291	0x11	9	0	
start	236.8691	0x11	10	-1	
entrance	236.8691	0x11	10	1	
entrance	237.6491	0x11	10	0	
entrance	237.6891	0x11	10	1	
entrance	237.7091	0x11	10	0	
entrance	237.7291	0x11	10	1	
entrance	237.7291	0x11	10	0	
lick	239.2091	0x11	10	0	
end	239.2091	0x11	10	0	1
lick	239.4691	0x11	10	0	
lick	239.6291	0x11	10	0	
lick	239.7291	0x11	10	0	
lick	239.8891	0x11	10	0	
lick	240.0291	0x11	10	0	
lick	243.2491	0x11	10	1	
lick	243.4291	0x11	10	1	
start	244.4891	0x11	11	-1	
entrance	244.4891	0x11	11	1	
entrance	245.4891	0x11	11	0	
lick	246.5291	0x11	11	1	
end	246.5291	0x11	11	1	1
lick	246.8291	0x11	11	1	
lick	246.9691	0x11	11	1	
lick	247.1291	0x11	11	1	
lick	247.2691	0x11	11	1	
lick	247.4291	0x11	11	1	
lick	247.6091	0x11	11	1	
lick	247.7491	0x11	11	1	
start	250.4891	0x11	12	-1	
entrance	250.4891	0x11	12	1	
entrance	251.3291	0x11	12	0	
entrance	252.0891	0x11	12	1	
entrance	252.2491	0x11	12	0	
lick	253.7291	0x11	12	0	
end	253.7291	0x11	12	0	1
lick	254.1091	0x11	12	0	
lick	254.2291	0x11	12	0	
lick	254.3291	0x11	12	0	
lick	254.4691	0x11	12	0	
lick	254.6291	0x11	12	0	
lick	254.7491	0x11	12	0	
lick	254.8891	0x11	12	0	
start	258.4491	0x11	13	-1	
entrance	258.4491	0x11	13	1	
entrance	258.9091	0x11	13	0	
lick	260.6292	0x11	13	1	
end	260.6292	0x11	13	1	1
lick	261.0491	0x11	13	1	
lick	261.1891	0x11	13	1	
lick	261.3492	0x11	13	1	
lick	261.5092	0x11	13	1	
lick	261.6691	0x11	13	1	
lick	261.8291	0x11	13	1	
lick	261.9891	0x11	13	1	
lick	262.1491	0x11	13	1	
lick	262.3291	0x11	13	1	
lick	262.4891	0x11	13	1	
lick	262.6292	0x11	13	1	
lick	274.3091	0x11	13	1	
lick	274.5092	0x11	13	1	
lick	278.0491	0x11	13	1	
lick	286.3492	0x11	13	1	
start	290.9291	0x11	14	-1	
entrance	290.9291	0x11	14	1	
entrance	291.2291	0x11	14	0	
lick	292.9691	0x11	14	0	
end	292.9691	0x11	14	0	1
lick	293.1491	0x11	14	0	
lick	293.2691	0x11	14	0	
lick	293.4091	0x11	14	0	
lick	293.5291	0x11	14	0	
lick	293.6691	0x11	14	0	
lick	293.8091	0x11	14	0	
lick	293.9291	0x11	14	0	
lick	294.0891	0x11	14	0	
lick	294.2291	0x11	14	0	
lick	294.3492	0x11	14	0	
lick	294.5091	0x11	14	0	
lick	294.6292	0x11	14	0	
lick	306.1491	0x11	14	1	
lick	306.4091	0x11	14	1	
lick	306.6491	0x11	14	1	
start	308.4891	0x11	15	-1	
entrance	308.4891	0x11	15	1	
entrance	308.5291	0x11	15	0	
entrance	308.5291	0x11	15	1	
entrance	308.9291	0x11	15	0	
entrance	309.2291	0x11	15	1	
entrance	309.7691	0x11	15	0	
entrance	310.5291	0x11	15	1	
entrance	310.7291	0x11	15	0	
entrance	310.7291	0x11	15	1	
entrance	310.7291	0x11	15	0	
lick	311.8291	0x11	15	1	
end	311.8291	0x11	15	1	1
lick	312.0091	0x11	15	1	
lick	312.2291	0x11	15	1	
lick	312.3891	0x11	15	1	
lick	312.5291	0x11	15	1	
lick	312.7091	0x11	15	1	
lick	312.8492	0x11	15	1	
lick	313.0291	0x11	15	1	
lick	313.1691	0x11	15	1	
lick	313.3291	0x11	15	1	
start	316.7892	0x11	16	-1	
entrance	316.7892	0x11	16	1	
entrance	317.0291	0x11	16	0	
entrance	317.9291	0x11	16	1	
entrance	318.0692	0x11	16	0	
lick	319.5692	0x11	16	0	
end	319.5692	0x11	16	0	1
lick	319.7091	0x11	16	0	
lick	319.9291	0x11	16	0	
lick	320.0692	0x11	16	0	
lick	320.1891	0x11	16	0	
lick	320.3291	0x11	16	0	
lick	320.4491	0x11	16	0	
lick	320.5891	0x11	16	0	
lick	320.7291	0x11	16	0	
lick	320.8891	0x11	16	0	
lick	321.0291	0x11	16	0	
lick	321.1891	0x11	16	0	
lick	321.3291	0x11	16	0	
start	323.8492	0x11	17	-1	
entrance	323.8492	0x11	17	1	
entrance	324.4091	0x11	17	0	
lick	325.6091	0x11	17	1	
end	325.6091	0x11	17	1	1
lick	325.7892	0x11	17	1	
lick	326.1891	0x11	17	1	
